class	size	virtual_size	raw score (mean)	pval (mean)	raw score (median)	pval (median)	aroc rate	log-3	log-4	log-5	log-6
19S proteasome regulatory particle(GO:0005838)	23	18	0.420244788	0.63742	0.296811833	0.90215	0.380101126	0.773669239	0.943560583	0.979486728	0.993803804
"19S proteasome regulatory particle, base subcomplex(GO:0008540)"	7	5	0.715158258	0.33733	0.711583082	0.52133	0.556493731	0.931250379	0.984003986	0.994263439	0.998276259
1-phosphatidylinositol 3-kinase complex(GO:0005942)	25	14	0.660347218	0.37734	0.515164624	0.69716	0.470109232	0.81910752	0.955830818	0.984012215	0.995178518
1-phosphatidylinositol 3-kinase(GO:0004429)	8	6	0.643559038	0.39468	0.638063564	0.58591	0.445428747	0.918073823	0.980834526	0.993119687	0.997931748
"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase(GO:0004435)"	7	5	0.722618113	0.33041	0.265542889	0.9248	0.50613137	0.931250379	0.984003986	0.994263439	0.998276259
1-phosphatidylinositol-4-phosphate 5-kinase(GO:0016308)	10	6	0.719235926	0.33733	0.37665042	0.83153	0.47566728	0.918073823	0.980834526	0.993119687	0.997931748
1-phosphatidylinositol-4-phosphate kinase(GO:0045215)	10	6	0.719235926	0.33733	0.37665042	0.83153	0.47566728	0.918073823	0.980834526	0.993119687	0.997931748
20S core proteasome(GO:0005839)	25	19	1.037601563	0.16566	0.602456249	0.61558	0.577989218	0.02672541	0.057831132	0.021440378	0.993460324
26S proteasome(GO:0005837)	108	82	0.694994048	0.35255	0.419059066	0.7954	0.473333786	0.21363484	0.204958206	0.086656974	0.971980238
2-acetyl-1-alkylglycerophosphocholine esterase complex(GO:0008247)	8	4	0.692122118	0.35255	0.501445023	0.70846	0.495312859	0.94461449	0.98718332	0.995408376	0.998620848
2-acetyl-1-alkylglycerophosphocholine esterase(GO:0003847)	9	5	0.627841469	0.41264	0.370718873	0.83153	0.478269872	0.931250379	0.984003986	0.994263439	0.998276259
"3',5'-cyclic AMP binding(GO:0030552)"	6	5	1.090255254	0.1448	0.938057708	0.38474	0.642378926	0.931250379	0.984003986	0.994263439	0.998276259
"3',5'-cyclic-nucleotide phosphodiesterase(GO:0004114)"	14	12	0.560772718	0.47259	0.486598596	0.72676	0.50660066	0.842809444	0.962023493	0.986282008	0.99586635
3'-5' exonuclease(GO:0008408)	16	15	0.58432156	0.4515	0.464386924	0.74743	0.507658643	0.807505697	0.952748913	0.982879083	0.994834721
3'-5' exoribonuclease(GO:0000175)	6	5	0.764815844	0.30207	0.567845575	0.65095	0.543241689	0.931250379	0.984003986	0.994263439	0.998276259
35S primary transcript processing(GO:0006365)	7	6	0.991055518	0.18098	0.804213777	0.46015	0.68252416	0.918073823	0.980834526	0.993119687	0.997931748
3-beta-hydroxy-delta(5)-steroid dehydrogenase(GO:0003854)	12	9	0.555800852	0.48229	0.538415943	0.67962	0.499609979	0.879643561	0.971385102	0.989695533	0.996898693
3-hydroxyacyl-CoA dehydrogenase(GO:0003857)	4	4	0.715324355	0.33733	1.013966746	0.34682	0.555009202	0.94461449	0.98718332	0.995408376	0.998620848
aa3-type cytochrome c oxidase(GO:0009481)	17	12	0.62087649	0.41264	0.527748327	0.68753	0.509920178	0.842809444	0.962023493	0.986282008	0.99586635
ABC-type efflux porter(GO:0015427)	7	5	1.025644306	0.16955	0.621668429	0.5955	0.58927873	0.931250379	0.984003986	0.994263439	0.998276259
ABC-type uptake permease(GO:0015406)	19	13	0.940017224	0.20197	0.680005432	0.54359	0.578592622	0.155152234	0.958922335	0.985146523	0.995522395
acetate metabolism(GO:0006083)	11	9	0.779953258	0.29527	0.430705699	0.77592	0.533650465	0.879643561	0.971385102	0.989695533	0.996898693
"acetyl choline receptor signaling, muscarinic pathway(GO:0007213)"	7	4	1.380932797	0.07622	1.187077958	0.26594	0.805728088	0.94461449	0.98718332	0.995408376	0.998620848
acetylcholine binding(GO:0042166)	6	5	0.598688614	0.4412	0.250048909	0.93154	0.390475095	0.931250379	0.984003986	0.994263439	0.998276259
