class	size	virtual_size	raw score (mean)	pval (mean)	raw score (median)	pval (median)	aroc rate	log-3	log-4	log-5	log-6	log-7	log-8
19S proteasome regulatory particle(GO:0005838)	14	11	3.572042412	0.24347	2.661505657	0.58487	0.636341728	0.231306735	0.244778931	0.163347886	0.382429718	0.370863671	0.296664842
"19S proteasome regulatory particle, base subcomplex(GO:0008540)"	8	7	4.759890955	0.1159	2.661505657	0.58487	0.659589477	0.242883739	0.143855083	0.068636051	0.12896258	0.069023139	0.223048828
1-phosphatidylinositol 3-kinase complex(GO:0005942)	28	18	4.205554685	0.1664	3.901335512	0.41079	0.626802273	0.050911558	0.056231538	0.035960962	0.074723905	0.024820775	0.131323737
1-phosphatidylinositol 3-kinase(GO:0004429)	15	9	4.905493946	0.10439	3.901335512	0.41079	0.673747474	0.087906283	0.090275583	0.117045762	0.047507272	0.017568572	0.26383634
"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase(GO:0004435)"	14	12	3.501811008	0.25355	2.709615867	0.57686	0.587842452	0.176059572	0.076671139	0.022945694	0.089942123	0.152295866	0.310414461
1-phosphatidylinositol-4-phosphate 5-kinase(GO:0016308)	7	7	3.845314444	0.20765	1.838712874	0.72344	0.598475594	0.242883739	0.143855083	0.220866077	0.12896258	0.069023139	0.028479681
1-phosphatidylinositol-4-phosphate kinase(GO:0045215)	7	7	3.845314444	0.20765	1.838712874	0.72344	0.598475594	0.242883739	0.143855083	0.220866077	0.12896258	0.069023139	0.028479681
"2',3'-cyclic nucleotide 3'-phosphodiesterase(GO:0004113)"	7	4	2.399612642	0.45089	2.179344116	0.66719	0.495966771	0.40397385	0.419050518	0.504282468	0.648012787	0.752941299	0.846088534
"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase(GO:0008667)"	15	12	1.402345127	0.68356	1.209405239	0.84082	0.372740419	0.057139379	0.046818284	0.128101091	0.271933709	0.426676519	0.605536445
20S core proteasome(GO:0005839)	19	14	5.198606801	0.08569	3.581258007	0.45532	0.674791638	0.0311195	0.116475845	0.041227129	0.037669593	0.381564386	0.333162915
26S proteasome(GO:0005837)	93	71	3.87584895	0.20389	2.922483115	0.54415	0.617456652	0.001665212	0.009273551	0.003046152	0.003079168	0.030061499	0.094794471
2-acetyl-1-alkylglycerophosphocholine esterase complex(GO:0008247)	4	4	1.056309374	0.77817	1.527588784	0.77993	0.302191187	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
2-acetyl-1-alkylglycerophosphocholine esterase(GO:0003847)	6	5	2.570503324	0.41433	1.527588784	0.77993	0.433112583	0.344771205	0.405945729	0.396759683	0.333134433	0.257900072	0.811454522
"3',5'-cyclic AMP binding(GO:0030552)"	9	6	1.14658455	0.75306	0.512605438	0.95924	0.258068401	0.101243105	0.216511673	0.358057057	0.521602209	0.653308958	0.778234229
"3',5'-cyclic GMP binding(GO:0030553)"	5	4	1.545183323	0.64672	0.640864884	0.93863	0.324042861	0.40397385	0.419050518	0.504282468	0.648012787	0.752941299	0.846088534
