class	size	virtual_size	raw score(mean)	pval (mean)	raw score(median)	pval (median)	aroc rate	rocpval	log-1	log-2	log-3	log-4	log-5	log-6	log-7	log-8	log-9	log-10
_GO:0000157	76	57	0.443922091	0.6791	0.339061492	0.799	0.425218965	0.82411815	0.02908251	0.126253856	0.632387252	0.871139791	0.957840123	0.982921662	0.982921662	0.991424703	0.991424703	0.991424703
_GO:0003751	11	9	0.465243083	0.6442	0.402414498	0.7206	0.4588062	0.582148968	0.335902579	0.722128062	0.93044446	0.978530714	0.99324631	0.997293641	0.997293641	0.998646006	0.998646006	0.998646006
_GO:0003752	8	7	0.536230007	0.5333	0.484762175	0.6271	0.501678141	0.507263032	0.385408169	0.776336749	0.945478838	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
_GO:0005752	9	8	0.712865797	0.3137	0.593630165	0.4886	0.653110408	0.261206439	0.362655156	0.748744058	0.937932094	0.980894672	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
_GO:0009887	50	42	0.672836069	0.3553	0.465669233	0.6485	0.526477056	0.403121854	0.161279621	0.256543156	0.713712059	0.903450489	0.968794265	0.9874017	0.9874017	0.99368136	0.99368136	0.99368136
_GO:0030179	5	5	0.871856778	0.1783	0.750972947	0.3227	0.737157483	0.212194413	0.406058683	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
"19S_proteasome_regulatory_particle,_base_subcomplex_GO:0008540"	19	17	0.82454847	0.2127	1.168802335	0.0975	0.484553278	0.368215523	0.185362063	0.540473012	0.872617561	0.959810417	0.987273709	0.994891068	0.994891068	0.997442455	0.997442455	0.997442455
19S_proteasome_regulatory_particle_GO:0005838	6	5	0.530567015	0.5414	0.357426672	0.7729	0.595694068	0.570371296	0.037307005	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
1-phosphatidylinositol_3-kinase_complex_GO:0005942	21	13	0.433709929	0.6921	0.383650539	0.7458	0.386354676	0.678290994	0.079744785	0.624760311	0.901075993	0.96912819	0.990256407	0.996091992	0.996091992	0.99804423	0.99804423	0.99804423
1-phosphatidylinositol_3-kinase_GO:0004429	6	5	0.399654324	0.7425	0.383650539	0.7458	0.369738031	0.630947207	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
1-phosphatidylinositol-4-phosphate_5-kinase_GO:0016308	9	5	0.587792103	0.459	0.381168449	0.7475	0.448389039	0.505491379	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
1-phosphatidylinositol-4-phosphate_kinase_GO:0045215	9	5	0.587792103	0.459	0.381168449	0.7475	0.448389039	0.505491379	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
20S_core_proteasome_GO:0005839	20	17	0.516445654	0.5641	0.390201493	0.7338	0.449578564	0.662852002	0.230040359	0.339073921	0.872617561	0.959810417	0.987273709	0.994891068	0.994891068	0.997442455	0.997442455	0.997442455
26S_proteasome_GO:0005837	90	73	0.582147198	0.4655	0.390201493	0.7338	0.496853524	0.537557673	0.108949423	0.222961359	0.329629407	0.837870956	0.946265151	0.978154183	0.978154183	0.989017602	0.989017602	0.989017602
2-acetyl-1-alkylglycerophosphocholine_esterase_GO:0003847	6	4	1.232816242	0.042	1.573683971	0.0278	0.736564805	0.221163438	0.01811626	0.127478061	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
"3',5'-cyclic-nucleotide_phosphodiesterase_GO:0004114"	11	10	0.612927865	0.4253	0.368475062	0.7612	0.514946512	0.484522406	0.296786476	0.696454331	0.923015482	0.976172099	0.992498158	0.996993161	0.996993161	0.998495562	0.998495562	0.998495562
3'-5'_exonuclease_GO:0008408	15	14	0.534692688	0.5363	0.492192093	0.6185	0.540199436	0.440250477	0.19757089	0.602534892	0.893877164	0.966790829	0.989510058	0.995791693	0.995791693	0.997893787	0.997893787	0.997893787
3'-5'_exoribonuclease_GO:0000175	6	5	0.455284174	0.661	0.46470588	0.6485	0.524239687	0.495615704	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
35S_primary_transcript_processing_GO:0006365	5	5	0.570952735	0.4806	0.439519481	0.6763	0.56546221	0.427159287	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
3-beta-hydroxy-delta(5)-steroid_dehydrogenase_GO:0003854	6	4	0.436694478	0.6872	0.573224204	0.5181	0.415964173	0.587603595	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
aa3-type_cytochrome_c_oxidase_GO:0009481	10	9	0.766112192	0.2629	0.55912239	0.5347	0.617036591	0.30022878	0.288337889	0.722128062	0.93044446	0.978530714	0.99324631	0.997293641	0.997293641	0.998646006	0.998646006	0.998646006
ABC-type_efflux_porter_GO:0015427	6	5	0.279738289	0.8987	0.202690663	0.94	0.314031918	0.760775985	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
ABC-type_uptake_permease_GO:0015406	16	13	0.601478082	0.4402	0.367117732	0.763	0.473701909	0.54276057	0.287170041	0.299541278	0.901075993	0.96912819	0.990256407	0.996091992	0.996091992	0.99804423	0.99804423	0.99804423
acetate_metabolism_GO:0006083	10	8	1.282036961	0.0346	0.698254009	0.3708	0.570247778	0.376669434	0.116745444	0.02834659	0.00166789	0.018954486	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
"acetyl_choline_receptor_signaling,_muscarinic_pathway_GO:0007213"	7	4	0.819456217	0.2186	1.08396739	0.1229	0.618432937	0.353548205	0.126875647	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
acetylcholine_binding_GO:0042166	4	4	0.433987552	0.6921	0.422335895	0.6958	0.498005419	0.527800169	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
acetylcholine_receptor_GO:0015464	4	4	0.433987552	0.6921	0.422335895	0.6958	0.498005419	0.527800169	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
