M1_melanoma_KB_1stBUSAM_28_U95Av2_Signal	M2_melanoma_KB_1stBUSAM_31_U95Av2_Signal	M3_melanoma_KB_1stBUSAM_32B_U95Av2_Signal	M4_melanoma_KB_1stBUSAM_42_U95Av2_Signal	M5_melanoma_KB_1stBUSAM_44_U95Av2_Signal	M6_melanoma_KB_1stBUSAM_45_U95Av2_Signal	M7_melanoma_KB_1stBUSAM_46_U95Av2_Signal	M8_melanoma_KB_1stBUSAM_48_U95Av2_Signal	M9_melanoma_KB_1stBUSAM_22_U95Av2_Signal	M10_melanoma_cell_line_UW_1stG_MEL_S2_U95Av2_Signal	M11_melanoma_cell_line_UW_1stMeL-22a_Signal	M12_melanoma_cell_line_UW_1stSK-MEL_28_S2_U95Av2_Signal	M13_melanoma_cell_line_UW_1stSK-MEL_37_S2_U95Av2_Signal	M14_melanoma_cell_line_UW_1stSK-MEL-118_U95Av2_Signal	M15_melanoma_cell_line_UW_1stSK-MEL-127_U95Av2_Signal	M16_melanoma_cell_line_UW_1stSK-MEL-130_U95Av2_Signal	M17_melanoma_cell_line_UW_1stSK-MEL-19_U95Av2_Signal	M18_melanoma_cell_line_UW_1stSK-MEL-29_U95Av2_Signal	M19_melanoma_cell_line_UW_1stSK-MEL-75_U95Av2_Signal	M20_melanoma_cell_line_UW_1stSK-MEL-90_U95Av2_Signal	M21_melanoma_cell_line_UW_U95Av2_SK-MEL-131_Signal	M22_melanoma_cell_line_UW_U95Av2_SK-MEL-176_Signal	M23_melanoma_cell_line_UW_U95Av2_SK-MEL-187_Signal	M24_melanoma_cell_line_UW_U95Av2_SK-MEL-21_Signal	M25_melanoma_cell_line_UW_U95Av2_SK-MEL-30_Signal	M26_melanoma_cell_line_UW_U95Av2_SK-MEL-31_Signal	M27_melanoma_cell_line_UW_U95Av2_SK-MEL-64_Signal	M28_melanoma_cell_line_UW_U95Av2_SK-MEL-85_Signal	M29_melanoma_cell_line_UW_U95Av2_SK-MEL-94_Signal	S5_Fibrosarcoma	S6_Fibrosarcoma: classic conventional type	S7_Fibrosarcoma: classic conventional type	S8_Fibrosarcoma: classic conventional type	S9_Fibrosarcoma: classic conventional type	S10_Fibrosarcoma	S11_Fibrosarcoma: classic conventional type	S12_Fibrosarcoma: classic conventional type	S13_GIST	S14_GIST	S15_GIST	S17_GIST	"S18_GIST, no kit staining was done but positive on GeneChip"	S20_Leiomyosarcoma	S21_Leiomyosarcoma	S22_Leiomyosarcoma	S23_Leiomyosarcoma	S24_Leiomyosarcoma	S26_Leiomyosarcoma	S28_Lipo dediff	S29_Lipo dediff	S30_Lipo dediff	S31_Lipo dediff	S32_Lipo dediff	S33_Lipo pleo	S34_Lipo pleo 	S35_Lipo pleo (undiff portion according to path report)	S36_MFH	S37_MFH	S38_MFH	S39_MFH	S40_MFH	S41_MFH	S42_MFH	S43_MFH	S44_MFH	S45_MFH	S46_MFH	S47_Round cell liposarcoma	S48_Round cell liposarcoma	S50_Round cell liposarcoma	S51_Round cell liposarcoma	S55_synovial sarcoma	S56_synovial sarcoma	S57_synovial sarcoma	S58_synovial sarcoma	S59_synovial sarcoma	
0.24392156531561507	-0.17070765500186189	-0.5271332969844705	-0.862467575913045	-0.3081877810950625	-0.5216826511254484	-0.6183473109829787	0.3145408442854893	-0.3869063887260934	-0.5822467453835154	-0.44709647916256273	0.11009564049572983	0.3288633512896241	-0.486648916099067	-1.3307326229737464	0.366355701602246	-0.7654534370746774	0.05491474878459367	0.1309785424032997	-0.37460104987451	0.9741977486411714	-0.47401862310740694	-0.46835338489173023	-0.25284134670879294	1.0059574174260253	-0.31232634797339776	1.5831066262531783	-0.9253983173045007	-0.8710880574403626	0.2810889614881606	-0.7655515364377196	1.840801390544184	0.9341425524690764	1.4565523167187826	1.3817944708705736	-0.5121302256492316	-0.719775921158237	-0.2108180320656678	-0.6793957708460656	-0.9788808637929718	-0.03235689706166331	-0.6359806714897817	0.3059694124396926	-0.1724979683773788	0.2605800634021883	-0.5568144855148718	-0.768733634526395	-0.620113099517735	0.7696421830679895	-0.17444156200764888	-0.887286714762676	-0.24021105371713286	-0.03150465884523567	-0.1848830129614338	-1.0129642612398837	-1.1668392433814818	-0.3746684931866013	-0.0195733238152501	-0.17793022060583055	-0.6195367657598632	-0.8103277644562115	-0.47785062947623586	-0.9960911707966562	-0.95353444086699	-0.3484023887321006	-0.5809959785047295	-1.1634670777769123	1.1148170543517166	2.0457186975185833	3.872954220800386	3.923132044996379	1.2455037995542575	0.3360429984222618	1.4433702148100112	0.9319537104312016	0.3027995767713975	35175_f_at	5.37E-10	[5.369999999999993E-10, 0.06666667014360428]	EEF1A2	eukaryotic translation elongation factor 1 alpha 2	
2.311818800792559	-0.49650926582469984	0.5288649830706015	-0.4520655377697154	0.6218740539095822	-0.7221268105536464	-0.22543383557041963	2.082822043987652	-0.3861512099104204	0.9596692302860176	-1.114239473346876	0.005037880351558909	-0.5366383938456343	0.03703011775601943	-1.1625192766489294	-0.7306989027253573	-0.874705325039367	-0.06779437992198403	-0.5954890656930002	-0.38853398765629	1.0982149561625922	-0.5525163582794741	0.6468636816741153	0.7271199684781776	1.2028838840538822	-0.6648318365734184	0.37271230196607624	-0.7224123500355893	-0.02645417065004976	0.8320704973757974	-0.8945316112752473	1.8773045095496896	0.5597111240716769	-0.5054476362284205	0.8312847714910025	-0.46224452799153376	-0.8472856578216081	-0.8624212196023963	-1.0607392206197808	-0.8556155337431192	-0.686140958877596	-0.9350388329550304	0.7030814825741861	-0.060736631623474535	-0.5914088049579241	-0.23124702557521876	-1.0835843484130312	-0.5423078294905586	0.016164073958305363	-0.5713363639962311	0.0972631945435513	0.41221324312673613	-0.6149510429346772	-0.4083425507519119	-0.7762690348056618	-0.5978442741095786	0.9559276784536604	0.03526961915700515	-0.8201022991406297	-0.4948354136891716	-0.7334834049837536	-0.7129068391435954	-0.6906229441251985	-0.6620729344065066	-0.7741639195905092	0.3611863530846095	-0.9048976790886831	1.7084305522151497	2.636343283590965	3.3954844579981787	3.183163206938746	0.34588537532807495	-0.3699010595311511	-0.15568934017747468	0.3270929389406095	-0.24749914519229466	1676_s_at	1.42E-9	[1.4200000000000038E-9, 0.13333334028720856]	EEF1G	eukaryotic translation elongation factor 1 gamma	
2.819872278132567	-0.3692203350714152	-0.6020723174246045	-0.3500471608174639	1.094624531273591	-0.8655591365845356	0.851437339689753	2.9622935264953325	-0.6759488811350558	0.8703195135021509	-0.4340711915382072	0.4885644826283727	-0.42384393408426346	-0.7116245965583813	-0.4535869953443099	-0.5672883775479747	-0.7055323615077987	0.21575156867221115	-0.34747978595408285	0.03876697754173497	-0.32564536572657204	-0.7494828152933558	-0.6798679999850067	-0.34518463731021937	0.211907546710403	-1.4194690899701081	-0.496978916024305	-1.0374559135433392	-0.440675024139262	0.2649212561836906	-0.5526022423605539	1.2308315121425426	-0.49380137894476395	-0.5452145859895088	1.7232605819167304	-0.6307546351396344	-1.0864613266120065	-0.3371633509454697	-0.5135471669708039	-0.8838076804032292	-0.8171498050655017	-0.631073796914241	0.42045160508287927	0.002678229233624344	-0.2926308962768063	-0.4637954785762179	-0.7221053060098067	-0.426134389172618	0.26731966304875066	-0.45680677442343115	-0.5230516168763734	0.19212421024029167	-0.27653200088119967	-0.3721631943755101	-0.9089604443755486	-1.2408042059674373	1.182046696182795	0.2969359983100561	-0.4932803942832735	0.08916637659655219	-0.7262684897462216	-0.8239460734424225	-0.4792372762005752	-1.1105955890388897	-0.4075197480242286	-0.1380580327014381	-0.9904452615659645	1.1509518909361787	1.2147889394130433	2.3735667783445678	2.8858824428100625	1.9016344654778476	0.9388829723765012	2.046482282038727	1.4210237684751288	0.1884585433878227	35748_at	7.66E-8	[7.660000000000018E-8, 0.20000001788139343]	EEF1B2	eukaryotic translation elongation factor 1 beta 2	
2.815210244099639	-0.28707638579535366	1.6238853115246132	-0.12684847404346494	0.9357253622789679	-0.678886944729926	0.895073681644799	2.3701885355788965	-0.604654816648932	1.022742279962679	-1.313019795990427	-0.16970446180952575	0.26710311047854296	-0.2946951002233717	-0.5902841531896904	0.028415671713728365	-0.4937625392909098	0.34828278509180677	-0.27573173073465557	-0.21633433077224862	0.8205424044445575	0.08863285532022708	1.604015865376637	1.4073416192630799	1.2845476174908892	-0.3307272281122358	0.5966753116291356	0.3828210850069922	1.267685962327143	0.22787047053824092	-0.9894996116369209	0.7558293547478274	-0.16962008641691756	-0.9387737008875766	0.5878005544247894	-0.6066443500541846	-0.9752027766462118	-0.8300272431733884	-1.0049172970135292	-0.9300648180346082	-0.8124714086431835	-0.870975196492966	0.21906762417986775	-0.5221423943569687	-0.3178532690605121	-0.32925449398670903	-1.1896140726218258	-0.8941218595947505	0.46882262154556487	-0.8747183957286797	0.3129755185303504	0.3541487925006433	-0.7973653369324581	0.01469795873592146	-1.099958506296546	-0.9914431221007508	0.7365093074630853	0.2524102864293422	-0.8551902863962557	0.17908231738504876	-0.47008469474020464	-0.9695544193978536	-0.7848566849782772	-0.87450458081332	-0.1102466567365016	-0.14457305935888656	-1.1045186127425128	1.513334370982143	2.056541230971841	2.366715721124041	2.6094761902047656	-0.7442874621141575	-1.0761090345267852	-1.0844295988114994	-0.7972915084639259	-0.8721315228962114	31527_at	1.12E-7	[1.1200000000000009E-7, 0.2666666805744171]	RPS2	ribosomal protein S2	
-0.4264939962074799	0.5598745656129925	-0.7777935365261317	-0.6160247111485536	0.02515276860320112	0.2799386685728867	-0.9663553236068712	-0.8507158898408681	0.8106162449482385	-0.245388740921488	-0.07372000044918832	2.4990783598267097	0.37282936127016786	1.1983558982751208	1.4248322538037301	-1.0164868085546102	0.020982166073935587	1.3559541211234334	0.2944304591796279	1.0976295280986135	0.24973339570941708	-0.902574594017899	-1.2279658458971732	-0.346578511379025	-0.7156136442716252	0.7962508362363231	0.7692051107435094	-0.7011639809631591	-0.2571001298420523	-0.5559511838078175	-0.9328219941796441	-0.34287130913078917	1.0218425185011488	-0.2090750098080838	0.7852556113864411	-0.1451257710260099	-1.15997238648066	0.3040776104846972	2.881299337079513	0.030924208466932345	0.7626332522125455	0.7893840866174314	0.24771128539219728	-0.599468682926317	1.424537362715802	-0.881258181090541	-0.24353513979737004	0.1673324002827131	-0.6107587988641273	0.6086158497176429	0.15844354034660124	-0.05813290008728627	-0.680942877790962	-0.2479585061162882	-0.7718957147675742	-1.325743305194402	-0.5707378655024868	-0.9185829673625551	-0.7492733555936786	-0.31173923570526024	-0.7531911943332917	-1.500192447352879	-1.637780203520371	-0.9070400876350927	0.8241812349929207	-0.9759182203153896	-1.5284598644956797	-0.8360555900410251	-0.9313475387400046	-0.5686315005887164	-0.6733178368031125	2.3149399390648884	1.9294330325466023	1.3712884576956827	1.3759224605059779	1.999069456595857	39441_at	7.63E-7	[7.630000000000021E-7, 0.3333333432674408]	LANCL1	LanC lantibiotic synthetase component C-like 1 (bacterial)	
1.6359148491480227	-0.7880322218606344	0.8969999638591103	-0.38150267683387096	-0.0036483326625447207	-0.6233458898833797	2.3857600228588653	1.4964403851799855	-1.2216858129166706	0.6498086279097596	-1.4272474398877357	-0.565026950086826	-0.8547742062429261	-0.34336617848336887	-1.6347038161729441	0.002367060692212436	-0.6111233874088339	0.14050698375041953	-0.34959569593932993	-0.7752843683935997	0.5245858657474464	0.9110923174964963	1.4162633583547015	0.5065521347588267	1.0843983894547815	0.009405768065514547	0.4384357724246203	0.04240577780224844	0.5435333588888788	-0.43153800169198203	-0.9043514051170658	0.3560253814274754	-0.4614108036250842	0.7816219307219249	-0.6273594718733913	-0.187645670790253	-0.42803732161880825	-0.7565783873198043	-0.738992823054635	-0.6992454143148418	-1.136479359528221	-0.06180045484536933	0.3893440875008852	-0.4021158562974607	-0.299866618342243	0.44677416329592895	-1.4372415578206807	-0.46587255233854624	0.8408123058140762	0.16683428893800245	0.050343308437581856	2.240591351687877	-1.1188191008091433	0.6787801167657004	-0.7531499118854085	-0.9755153011707349	-0.18936862286040684	0.003940623854549463	-0.20012960385347786	-0.0032200844601365953	-0.6632426875309897	-0.7858760419578116	-0.5130495694270959	-0.5542161727911493	-0.5523064845862241	-0.12208634859484437	-0.8926044573324037	0.5031286389546913	4.596436999253109	1.9912513052810947	1.5170485850133144	-0.6907028586028502	-0.3788385746444711	-0.21898497383509005	0.0664598817758858	-0.08388013542069439	40886_at	1.91E-5	[1.9100000000000024E-5, 0.40000003576278687]	EEF1A1	eukaryotic translation elongation factor 1 alpha 1	
-0.3376838240778585	-0.3827688821310846	-0.4034090169978715	-0.45260189960859837	-0.3757653779674767	-0.5064413378663345	-0.30195921870483916	-0.5026870555863235	0.06979890374898422	-0.2852585549300818	-0.3082893090065617	0.14064204201932612	3.03024408802294	-0.28207667443267337	-0.29896252701944925	1.6723050355310733	0.2075120385045442	0.49825847337355655	-0.2734401416539934	0.3181539360123119	-0.33985558378243885	-0.19582919407170343	-0.32756578080303067	-0.35568080953674525	1.8994138604519173	-0.09705621587966552	4.6306794721797315	0.18103003838590165	-0.3745700683626301	-0.4955657039968856	-0.5210375833227001	-0.47782124873620585	-0.49186192775651605	-0.5470481937380228	1.3562045687620763	-0.4288977316702331	-0.47305684566336675	-0.46197918763535234	-0.42803912899632923	-0.5143539507434877	-0.3107641049489905	-0.04922699633925651	-0.4621475411008237	-0.2715040768010729	1.1995516691409902	-0.46048084179265736	-0.34786920873887495	-0.5242194638201084	-0.4789492169548639	-0.5490347646305846	-0.5059194421233734	-0.4109007462113463	-0.49953884578200936	-0.45800604585022864	-0.06661790932244636	-0.13247778501483648	-0.5042695781617541	-0.4890335895365974	-0.5391860869005111	-0.5094211942051773	-0.5487990697789248	0.254684679529615	-0.554203216020555	-0.5321825827369031	-0.4643698068450455	-0.48354526656223157	-0.5444387150232171	-0.44731560079279825	-0.542569991556485	-0.5011550390505343	-0.46963927031429853	-0.43985754227241763	1.8257087132685628	3.8237613121755762	1.4613581432954783	1.769899539464812	35174_i_at	4.15E-5	[4.150000000000006E-5, 0.46666669845581055]	EEF1A2	eukaryotic translation elongation factor 1 alpha 2	
2.4223426922655573	0.01307700066113975	1.4780688282725867	0.42735791590312894	0.13989125912237346	-0.28395734165521036	1.4110279386445141	1.869907186765333	-0.6053706676571976	0.046219237089161626	-1.3340578585773264	-0.8433781916066938	-0.23312284580628775	-0.202612281991212	-0.8315412557550121	-0.06555614043670585	-0.6499782090880346	0.09929272658329005	-0.4824608352470634	-0.42533492511600396	1.2619184602661546	1.3484328063748277	1.7338113656344463	0.8011383039095411	1.4296778874741751	0.4142002105921131	0.5822194505174829	0.14349903824809437	0.36573428587021367	-0.013200260245432794	-1.1739974386011314	0.13715566142248756	-0.19597291599394187	0.5971879518053647	0.036902813472623655	-0.9198775796537028	-1.1469473170796596	-0.9561553280402136	-1.1021595511309654	-1.0146177937197627	-0.11415164264042268	-0.7301011623499201	0.9780648446408385	0.35861475966113365	0.5832172629028465	0.2586763179869478	-0.45005988725563006	-1.1294227848560348	0.9748569797737207	-1.0850020454802034	0.34366467547726687	2.321659673386209	-1.094469752451147	0.1039285747652557	-1.2372516400930553	-1.0692409509659784	0.057270157251647906	0.8469291442733174	-1.0515552690822254	0.4179303319087885	-0.13797811320562126	-1.2134646347507452	-0.6760772187378943	-1.0032064245215615	0.42466375668727624	-0.09218924610298947	-1.0877126485389264	0.919508320180072	2.3312924765395695	1.2624117755522606	1.7722070809826385	-1.1073821156265395	-1.3185046142369807	-1.2894680764967892	-1.030367048667121	-1.3160551394030364	40887_g_at	1.417E-4	[1.417240000000001E-4, 0.5333333611488342]	EEF1A1	eukaryotic translation elongation factor 1 alpha 1	
1.9519097169796324	-0.16363301614651038	1.492090454007771	0.3384002154627681	0.08039948032326802	-0.3600786899300645	2.1479075982101765	1.4490820147117869	-0.612686873401123	0.222067387079581	-1.4157338755571336	-0.5905868007592053	-0.13133023312155226	-0.23527260216769338	-0.7936666328354578	0.025963138703014556	-0.5487523395934016	0.2116604780396691	-0.3953827335999083	-0.2792298101427108	1.0649817147872895	1.2357062368528933	1.6163640494527056	0.8297645596910036	1.2420160410089536	0.3561648420232637	0.6375650361131978	0.5303331645881951	0.7738620585826667	-0.008584516372887492	-1.1962216325949584	0.18582508012784216	-0.18032412243695845	0.6423147887942531	0.04855762159774331	-0.913421594336375	-1.1476420498791853	-0.9745341158378792	-1.0726978598707546	-0.960401073750554	-0.1808868177711668	-0.665606498309566	0.910808445912733	0.2611389287980694	0.4449558020470072	0.3115109949005276	-0.5254375804073931	-1.2036502615462243	0.9667555949589071	-1.148305859660848	0.24770318244578424	2.4090139913786217	-1.094202407812407	0.2787151147974005	-1.3536995054567627	-0.869612775095933	0.05618060039606366	0.6740141680710928	-1.0863200770222403	0.3752255719556702	-0.17764130664282085	-1.1026172309200106	-0.9626157427847257	-0.9800862182253552	0.40022841714430407	-0.15815445153900093	-1.1012731966736573	0.8475442877598854	2.7790265537409518	1.1469743696880519	1.6202950377443115	-1.0312737657806572	-1.3361692805699104	-1.3380320187999566	-1.134921327119611	-1.3823398444044572	1288_s_at	4.719E-4	[4.7186300000000026E-4, 0.6000000238418579]	EEF1A1	eukaryotic translation elongation factor 1 alpha 1	
2.4604280932098046	-0.34033005022028	0.19780146406304153	0.24758721979035322	2.0981867583192977	-0.5298451303438736	0.38845395506480723	3.510042065497023	-0.6747048185955723	0.0183268384168329	-0.8967682726871381	-0.45085114386124975	-0.4386159669851386	-0.4087389065937183	-0.46417567200096227	-1.0717413144352295	-1.1720777747551026	-0.2740998963740446	-0.8387643228682454	-1.046918523509489	-0.0923544539393726	-0.7722097666236578	0.3106414341070451	-0.0641554750900439	1.1192324343545765	-0.8035806800346492	-0.3718651673143878	-0.973094950561091	0.26595400249210327	1.013429192877292	-0.654892242488822	1.3242307203056807	0.535480330940066	-0.47983509641523214	3.007130238758225	0.22013316496686983	-0.9501224547963206	0.32376971882059424	-0.8228605954132413	-0.8395492965728992	-0.6202372554155031	-0.6729306178243392	0.6759265445870267	-0.034618836968499045	-0.2500060096026255	-0.7399898000219184	-0.5938885717271446	-0.2282590340094067	0.020910042700005297	-0.1543433467997482	0.6015943407177559	-0.06629412793843785	-0.5996677403792653	0.06517695268745398	-0.6568306469431717	-0.54530831133198	-0.026648950885533037	-0.4817454660944155	-0.21141814407027504	-0.9010455783839258	-0.9734433827667281	-0.7149387259269675	-0.9761307162148035	-0.6231048124182185	-0.74879672439199	0.762838352570165	-0.7725061342468436	0.22578016967892112	1.1145265970945337	3.322982030684413	1.486712267233284	0.23511174484138883	0.1776965253009866	0.6641279092099324	1.1750296468711001	-0.5449358493190575	41256_at	0.001053	[0.0010534000000000003, 0.6666666865348816]	EEF1D	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	
