GO:0000001	mitochondrion inheritance
GO:0000010	trans-hexaprenyltranstransferase
GO:0000100	S-methylmethionine transporter
GO:0000101	sulfur amino acid transport
GO:0000102	L-methionine porter
GO:0000103	sulfate assimilation
GO:0000104	succinate dehydrogenase
GO:0000105	histidine biosynthesis
GO:0000106	biotin-apoprotein ligase
GO:0000107	imidazoleglycerol-phosphate synthase
GO:0000108	repairosome
GO:0000109	nucleotide excision repair complex
GO:0000011	vacuole inheritance
GO:0000110	nucleotide excision repair factor 1
GO:0000111	nucleotide excision repair factor 2
GO:0000112	nucleotide excision repair factor 3
GO:0000113	nucleotide excision repair factor 4
GO:0000114	G1-specific transcription in mitotic cell cycle
GO:0000115	S-specific transcription in mitotic cell cycle
GO:0000116	G2-specific transcription in mitotic cell cycle
GO:0000117	G2/M-specific transcription in mitotic cell cycle
GO:0000118	histone deacetylase complex
GO:0000119	mediator complex
GO:0000012	single-strand break repair
GO:0000120	RNA polymerase I transcription factor complex
GO:0000121	glycerol-1-phosphatase
GO:0000122	repression of transcription, from Pol II promoter
GO:0000123	histone acetyltransferase complex
GO:0000124	SAGA complex
GO:0000125	PCAF complex
GO:0012501	programmed cell death
GO:0012502	induction of programmed cell death
GO:0012503	induction of non-apoptotic programmed cell death
GO:0012504	induction of non-apoptotic programmed cell death by pathogen
GO:0012505	endomembrane system
GO:0012506	vesicle membrane
GO:0012507	ER-Golgi transport vesicle membrane
GO:0012508	Golgi-ER transport vesicle membrane
GO:0012509	inter-Golgi transport vesicle membrane
GO:0012510	trans-Golgi network transport vesicle membrane
GO:0012511	lipid storage body (sensu Viridiplantae)
GO:0000126	transcription factor TFIIIB
GO:0000127	transcription factor TFIIIC
GO:0000128	flocculation
GO:0000131	incipient bud site
GO:0000132	mitotic spindle orientation
GO:0000133	polarisome
GO:0000134	site of polarized growth (sensu Saccharomyces)
GO:0000135	septin checkpoint
GO:0000136	mannosyltransferase complex
GO:0000137	Golgi cis cisterna
GO:0000138	Golgi trans cisterna
GO:0000139	Golgi membrane
GO:0000014	single-stranded DNA specific endodeoxyribonuclease
GO:0000140	acylglycerone-phosphate reductase
GO:0000141	actin cable (sensu Saccharomyces)
GO:0000142	contractile ring (sensu Saccharomyces)
GO:0000143	actin cap (sensu Saccharomyces)
GO:0000144	septin ring (sensu Saccharomyces)
GO:0000145	exocyst
GO:0000146	microfilament motor
GO:0000147	actin cortical patch assembly
GO:0000148	1,3-beta-glucan synthase complex
GO:0000149	SNARE binding
GO:0000015	phosphopyruvate hydratase complex
