Probe	Score	Symbol	Name	M1_melanoma_KB_1stBUSAM_28_U95Av2_Signal	M2_melanoma_KB_1stBUSAM_31_U95Av2_Signal	M3_melanoma_KB_1stBUSAM_32B_U95Av2_Signal	M4_melanoma_KB_1stBUSAM_42_U95Av2_Signal	M5_melanoma_KB_1stBUSAM_44_U95Av2_Signal	M6_melanoma_KB_1stBUSAM_45_U95Av2_Signal	M7_melanoma_KB_1stBUSAM_46_U95Av2_Signal	M8_melanoma_KB_1stBUSAM_48_U95Av2_Signal	M9_melanoma_KB_1stBUSAM_22_U95Av2_Signal	M10_melanoma_cell_line_UW_1stG_MEL_S2_U95Av2_Signal	M11_melanoma_cell_line_UW_1stMeL-22a_Signal	M12_melanoma_cell_line_UW_1stSK-MEL_28_S2_U95Av2_Signal	M13_melanoma_cell_line_UW_1stSK-MEL_37_S2_U95Av2_Signal	M14_melanoma_cell_line_UW_1stSK-MEL-118_U95Av2_Signal	M15_melanoma_cell_line_UW_1stSK-MEL-127_U95Av2_Signal	M16_melanoma_cell_line_UW_1stSK-MEL-130_U95Av2_Signal	M17_melanoma_cell_line_UW_1stSK-MEL-19_U95Av2_Signal	M18_melanoma_cell_line_UW_1stSK-MEL-29_U95Av2_Signal	M19_melanoma_cell_line_UW_1stSK-MEL-75_U95Av2_Signal	M20_melanoma_cell_line_UW_1stSK-MEL-90_U95Av2_Signal	M21_melanoma_cell_line_UW_U95Av2_SK-MEL-131_Signal	M22_melanoma_cell_line_UW_U95Av2_SK-MEL-176_Signal	M23_melanoma_cell_line_UW_U95Av2_SK-MEL-187_Signal	M24_melanoma_cell_line_UW_U95Av2_SK-MEL-21_Signal	M25_melanoma_cell_line_UW_U95Av2_SK-MEL-30_Signal	M26_melanoma_cell_line_UW_U95Av2_SK-MEL-31_Signal	M27_melanoma_cell_line_UW_U95Av2_SK-MEL-64_Signal	M28_melanoma_cell_line_UW_U95Av2_SK-MEL-85_Signal	M29_melanoma_cell_line_UW_U95Av2_SK-MEL-94_Signal	S5_Fibrosarcoma	S6_Fibrosarcoma: classic conventional type	S7_Fibrosarcoma: classic conventional type	S8_Fibrosarcoma: classic conventional type	S9_Fibrosarcoma: classic conventional type	S10_Fibrosarcoma	S11_Fibrosarcoma: classic conventional type	S12_Fibrosarcoma: classic conventional type	S13_GIST	S14_GIST	S15_GIST	S17_GIST	"S18_GIST, no kit staining was done but positive on GeneChip"	S20_Leiomyosarcoma	S21_Leiomyosarcoma	S22_Leiomyosarcoma	S23_Leiomyosarcoma	S24_Leiomyosarcoma	S26_Leiomyosarcoma	S28_Lipo dediff	S29_Lipo dediff	S30_Lipo dediff	S31_Lipo dediff	S32_Lipo dediff	S33_Lipo pleo	S34_Lipo pleo 	S35_Lipo pleo (undiff portion according to path report)	S36_MFH	S37_MFH	S38_MFH	S39_MFH	S40_MFH	S41_MFH	S42_MFH	S43_MFH	S44_MFH	S45_MFH	S46_MFH	S47_Round cell liposarcoma	S48_Round cell liposarcoma	S50_Round cell liposarcoma	S51_Round cell liposarcoma	S55_synovial sarcoma	S56_synovial sarcoma	S57_synovial sarcoma	S58_synovial sarcoma	S59_synovial sarcoma
39089_at	5.88E-9	NME4	non-metastatic cells 4, protein expressed in	5,065.100	5,198.800	7,042.900	4,105.000	23,327.000	9,145.500	10,687.900	9,750.800	8,065.200	6,637.100	5,498.900	5,150.900	13,136.100	4,036.400	4,620.800	5,587.300	22,663.500	8,638.000	6,422.300	6,534.000	8,207.700	9,127.300	3,310.700	27,484.900	9,683.400	9,099.300	14,637.400	13,467.300	5,958.000	6,108.200	6,249.400	8,880.700	12,790.700	3,789.900	8,490.600	11,632.800	3,252.800	11,693.500	8,142.900	5,540.200	10,421.900	7,535.000	6,168.900	5,555.900	11,372.900	8,088.600	15,022.300	5,562.400	3,219.000	4,715.200	5,546.500	6,080.600	5,095.100	6,121.200	3,230.000	4,712.500	6,526.800	2,783.400	2,502.900	4,643.600	2,793.100	1,913.400	3,737.600	1,825.900	4,246.200	2,885.600	1,467.300	13,597.400	14,741.200	25,360.800	20,314.400	12,963.500	6,912.400	7,723.000	13,857.700	8,926.100
33195_at	5.17E-7	DHODH	dihydroorotate dehydrogenase	-1.2317153	-0.64598123	1.25223105	-0.13518956	1.57625835	-0.4771636	2.20163301	2.89820296	-1.197794	0.65604448	0.22216739	0.73552287	0.24938331	-0.49254651	-0.24464492	-0.29059645	-0.02198708	0.7428199	0.657425	-1.09267742	0.39256275	0.72566203	-0.24405327	-0.72486797	-0.09042134	-0.6304011	0.07149371	2.84377111	2.37262003	-0.32294001	0.07859351	0.03362807	0.17838524	0.19475424	-0.07701059	-1.18181944	-0.64736175	-0.67635263	-0.52449564	-0.5765609	-0.67753593	-0.92090153	-1.2808223	-0.70573794	-1.11338519	-0.94575086	-0.56531953	-1.07473068	-1.05816447	-0.24937812	-0.08825195	-0.10540982	-0.74419523	-0.22433158	-0.17759119	-0.14899474	-0.51621254	-0.05650004	-0.73019283	-0.67063334	0.42963952	-1.13665678	-0.38861323	-0.34660604	-0.16122219	-0.92819856	-0.05551395	2.08271125	1.997908	2.68816701	1.72989028	-0.01646501	-0.15037526	0.38585738	-0.67161942	0.03855849
33415_at	7.4E-7	NME2	non-metastatic cells 2, protein (NM23B) expressed in	-0.6396425	-0.26401452	-0.61089242	0.88133057	1.53155366	-0.24548486	1.93598652	2.08450463	0.11784025	2.60763004	-0.3843237	0.80162223	-0.32854978	-0.39626351	0.39689481	-0.71909739	-0.17025651	2.53262089	0.06741629	-1.06832489	0.11922398	0.1680861	0.32005668	2.13588075	2.26666382	-0.22028316	0.3029861	-0.49019962	-0.38236456	0.26381009	-0.22785258	0.98429518	0.28644984	-0.21409747	1.41113488	-0.90960006	-1.26902058	-0.9068463	-0.28672276	-1.05476159	-1.05972795	-0.40382608	-0.57850491	-1.1534106	-0.83304963	-0.22593453	-0.83502248	-0.86121745	-1.10752829	-1.64222361	-0.18821076	0.52796558	-1.07734653	-0.3520732	-1.10358261	-1.03369738	1.29468918	-0.58975285	-0.69714266	-0.05866757	-1.35866165	-1.13912804	-0.27804362	-0.37382242	-1.44702173	0.79199776	-0.49266568	1.51621618	1.11017353	1.27649518	0.82526209	0.3121927	0.21551654	0.85212838	0.16692157	-0.42668503
749_at	9.41E-7	CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	-1.67322533	-0.29803268	0.40123563	-0.70050978	0.60382528	-0.12171438	-0.95158884	1.43122273	-0.68054355	0.63910395	1.93060358	2.54685442	-0.19459862	0.13161651	0.15435999	-0.04019813	0.3631797	0.12771333	1.38070667	-0.85828801	2.57034852	-0.30381238	-1.05652412	-0.30231116	0.27010406	-0.16742653	0.26042119	2.15863891	2.9112756	-0.45460993	-0.507603	0.51863104	0.36160342	-0.60998621	1.43572639	-0.45468499	-0.34216855	-0.73623882	-1.09960914	-0.85153252	-0.96697634	-0.98544135	-0.75845687	-0.70433789	-1.00923569	-0.22544869	0.02315336	-0.80311817	-0.33849056	-0.19444849	0.03816556	-1.1747452	-0.42383492	-0.8606149	-0.62522359	-0.51841179	-0.79516171	0.22829508	-0.57260583	-0.94378249	-1.54667247	0.02728171	-0.21996923	0.37346306	-0.8200069	0.54602831	-0.25472248	-0.82863891	-0.18544117	0.1325923	-0.77294365	2.16531934	1.14576573	1.85021325	0.6905958	1.51589154
1980_s_at	2.24E-6	NME2	non-metastatic cells 2, protein (NM23B) expressed in	-0.45423015	-0.38730833	-0.32464396	0.9558335	1.07060731	-0.37867368	1.93548649	2.00717134	-0.01246629	2.4741473	-0.77024839	0.87601958	0.31977461	-0.40400552	0.32634705	-0.80472045	-0.50249014	1.62059027	-0.14196379	-1.08002237	0.71844951	0.43645097	0.51982607	2.49957227	3.32711449	-0.04935978	0.53378253	0.03599327	-0.00450574	0.19130157	-0.58585637	1.01495886	0.46902491	0.0528989	1.46561902	-0.80044082	-1.3887852	-0.85219104	-0.44314747	-1.18946549	-0.96634397	-0.49723928	-0.5683343	-1.01733582	-0.50681412	-0.38295331	-0.58939981	-0.84584921	-1.01995682	-1.6791789	-0.26097288	0.82645131	-0.92838169	-0.60788869	-1.14616809	-0.95645869	1.06963607	-0.57060494	-0.76789792	-0.22374678	-1.25864908	-1.0675028	-0.33189936	-0.5095105	-1.39529555	0.55805001	-0.61619072	1.22501533	0.48711465	1.19266313	0.80528822	0.7827326	-0.24668824	0.34040552	-0.18927916	-0.41326104
1521_at	4.42E-6	NME1	non-metastatic cells 1, protein (NM23A) expressed in	-0.97907556	0.10930615	-0.85491645	1.29753763	1.26287564	-0.12222531	0.9233913	1.22695585	0.89893681	3.45625651	0.73585855	2.17777807	1.22596412	-0.22584846	1.88613841	0.17205089	1.32271776	2.75680024	0.15920684	-0.3042431	-0.16636916	-0.60800116	-1.15262741	0.50589933	0.61578728	-0.70236015	-0.7028681	-0.01966645	0.0198816	1.71984309	0.1065003	-0.48280195	-0.77686045	-0.46700691	0.80300558	-0.16849774	-0.56796934	-0.77069241	-0.47356197	-0.67023794	-0.73494194	-0.15171098	-1.0464161	-1.26744979	-1.03882094	-0.10894587	-0.52696998	-1.26154782	-1.31781006	-1.27385972	-0.96642502	0.16414128	-1.14159749	-0.2424659	-0.50948176	-0.51702855	0.64771598	-0.27930485	-0.94262363	-0.01647358	-0.83116343	-0.76108961	0.29091274	-0.1193227	-0.79843651	0.34216798	-0.47801264	1.66459676	0.26147544	2.17642352	-0.07324378	-0.08398343	-0.72183182	-0.04489496	-0.63751102	-0.82093174
1985_s_at	1.4E-5	NME1	non-metastatic cells 1, protein (NM23A) expressed in	-1.00268186	0.15900439	-0.81610306	2.44099781	1.05383163	-0.48852188	0.01628261	3.03294741	0.7347336	2.93725593	0.71977746	2.05722047	0.73833673	-0.9297849	1.26185219	-0.57957354	0.75540417	1.06371811	-0.34660922	-0.58423865	0.39399152	-0.04806798	-0.51148076	0.83397764	1.09512221	-0.39374066	-0.56789183	0.65618542	0.26618795	1.23005617	0.22979004	-0.43267972	-0.89877272	-0.7049371	1.86882115	0.0548424	-0.60313926	-0.68856499	-0.34176713	-0.35475103	-0.45949458	0.05533546	-1.05461747	-1.30252528	-0.96284517	-0.2006636	-0.634733	-1.13153476	-1.1194864	-1.23438192	-0.88894945	-0.08442797	-1.10264652	-0.35095826	-0.5506221	-0.63823499	1.33917405	0.2220528	-1.05868837	0.28254741	-0.8769896	-1.0779809	-0.52371875	-0.1962387	-0.80531897	-0.14960033	-0.65626327	2.02673928	-0.0694339	1.69506191	-0.18090329	0.31850283	-0.73376212	0.22884185	-0.83974464	-0.590522
39073_at	1.46E-5	NME1	non-metastatic cells 1, protein (NM23A) expressed in	-0.72194789	0.22052227	-0.90996467	2.72894553	1.29567799	-0.28277807	0.74472718	3.09091014	0.94276125	2.42688578	0.85302822	1.50126853	0.33675263	-0.55846476	1.41986253	-0.14648828	0.757429	2.0743916	-0.13328932	-0.73300916	-0.45411594	-0.27405334	-0.73949678	0.7208398	1.18635782	-0.40927429	-0.54337669	0.341376	0.44840935	1.05292655	0.12295936	-0.64804864	-0.90382504	-0.60989347	1.06264556	-0.10823367	-0.7000242	-0.65866249	-0.37678646	-0.35717445	-0.63626652	-0.25752357	-1.11873687	-1.21473381	-0.96288478	-0.12406745	-0.52291955	-1.29636352	-1.54975366	-1.23735349	-1.11781717	0.17796744	-1.28567509	-0.41797417	-0.77777625	-0.40470064	1.02063758	0.19315494	-1.01294636	0.25584377	-0.70323072	-0.77012035	0.11348892	0.11865913	-0.95157494	0.07697429	-0.38595862	1.86942248	0.63709726	1.91262359	-0.52828861	0.08052881	-0.73981992	0.14209909	-0.71988477	-0.92189593
39964_at	2.78E-5	RP2	retinitis pigmentosa 2 (X-linked recessive)	0.00070518	0.71529253	-0.39354146	-0.88946998	-0.51737064	0.18167688	-0.20645173	-0.79096949	-0.26396133	-1.2134815	0.02994943	-0.53878379	-0.61587112	0.60051806	0.22058763	-0.65833034	0.50948159	-0.56301124	-0.48421085	1.32122344	-1.70133419	-1.1937814	-1.04523533	-1.02761537	-1.49674686	-1.4363006	-1.13198917	-1.39188361	-0.88053763	-0.2659191	0.11450077	-0.33798964	0.1390953	-0.32550883	-0.35083753	-0.41850308	0.00094991	-0.29198196	0.8954077	-0.20853186	-0.69834233	-0.47099588	2.34183527	0.47999262	0.19293408	-0.33615423	0.20296766	-0.09730585	0.04414329	-0.67754099	-0.0752809	-0.00467869	1.56190723	-0.4824978	0.7657052	-0.67472669	2.903961	0.78112267	0.94777814	1.84713036	3.82374748	0.08623542	2.07986069	0.92991346	0.54239665	-0.00369981	2.30267979	-0.57182122	-0.20094549	-0.26958993	-0.46720269	-0.2202785	-0.31119261	0.13444559	0.00180643	-0.49754818
32441_at	3.94E-5	CTPS	CTP synthase	1.25805172	0.20379401	1.03009112	1.3275773	-0.04883696	-0.72919442	0.42999244	-0.21496144	-0.78125851	-0.32405573	0.70392964	1.45749722	-0.66111062	-0.90076561	0.61005409	-0.30034654	1.10906833	1.77068273	0.49647428	-0.5420841	-0.58085182	-1.18607681	-1.14442554	-0.42738292	-0.19349502	0.37071948	0.57545149	1.65405917	0.43992467	-0.11724116	-0.30018635	-0.3767606	0.0278975	-0.86343967	0.54116929	-0.80640947	-0.83924989	-1.05920063	-0.20887395	-0.57444394	-0.62875078	-0.85462882	0.41493391	1.67888974	5.86163836	0.38577802	0.99564872	-0.1946164	-0.53567622	-0.39358131	-0.79375389	-0.64781425	-0.81906505	-0.4110428	-0.67312541	-0.5364772	-0.74345197	0.33851985	-0.18596575	-0.33478894	-0.01888008	-0.6052018	-0.03570079	0.61453961	-0.52382162	-0.73416053	0.33243236	1.05716444	0.48734304	0.07707803	-0.61689619	-0.35080866	-0.78334107	-0.43875692	-0.14815921	-1.0612832
